"name","gauge_code","date","time","datetime_local","height_ft","height_m","unit","notes"
"Pattison Lake","PAW2","2022-09-15","17:00:00","2022-09-15T17:00:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-10-01","17:00:00","2022-10-01T17:00:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-09-05","07:29:00","2022-09-05T07:29:00","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2022-10-18","12:28:34","2022-10-18T12:28:34","1.700","0.5181600000000001","FEET",""
"Pattison Lake","PAW2","2022-12-31","11:37:31","2022-12-31T11:37:31","1.900","0.57912","FEET",""
"Pattison Lake","PAW2","2023-01-13","13:21:25","2023-01-13T13:21:25","1.840","0.560832","FEET",""
"Pattison Lake","PAW2","2023-04-04","17:52:28","2023-04-04T17:52:28","1.720","0.524256","FEET",""
"Pattison Lake","PAW2","2023-05-18","19:00:00","2023-05-18T19:00:00","1.580","0.48158400000000007","FEET","South basin water is very brown, with poor clarity, and has been for some weeks.  North Basin has many more water lilies than at this time last year, but water is clear."
"Pattison Lake","PAW2","2023-06-03","19:25:00","2023-06-03T19:25:00","1.540","0.46939200000000003","FEET",""
"Pattison Lake","PAW2","2023-06-24","15:30:00","2023-06-24T15:30:00","1.240","0.377952","FEET",""
"Pattison Lake","PAW2","2023-07-11","17:30:00","2023-07-11T17:30:00","0.980","0.298704","FEET","The gauge was facing a different direction than usual today, as if someone had given it a quarter-turn around the post.  Didn’t appear to have affected the height on the post, but can’t really tell; this is the lowest reading in a long time though."
"Pattison Lake","PAW2","2023-07-22","10:14:26","2023-07-22T10:14:26","0.800","0.24384000000000003","FEET",""
"Pattison Lake","PAW2","2023-07-20","17:30:00","2023-07-20T17:30:00","0.840","0.256032","FEET",""
"Pattison Lake","PAW2","2023-08-05","20:59:52","2023-08-05T20:59:52","0.750","0.22860000000000003","FEET",""
"Pattison Lake","PAW2","2023-08-06","20:08:45","2023-08-06T20:08:45","0.750","0.22860000000000003","FEET",""
"Pattison Lake","PAW2","2023-08-15","10:49:49","2023-08-15T10:49:49","0.870","0.265176","FEET",""
"Pattison Lake","PAW2","2023-09-03","19:00:00","2023-09-03T19:00:00","0.800","0.24384000000000003","FEET",""
"Pattison Lake","PAW2","2023-08-28","18:11:00","2023-08-28T18:11:00","1.000","0.3048","FEET",""
"Pattison Lake","PAW2","2024-02-08","14:32:14","2024-02-08T14:32:14","1.600","0.48768000000000006","FEET",""
"Pattison Lake","PAW2","2024-05-14","16:00:00","2024-05-14T16:00:00","1.560","0.475488","FEET",""
"Pattison Lake","PAW2","2024-06-20","17:30:00","2024-06-20T17:30:00","1.500","0.45720000000000005","FEET",""
"Pattison Lake","PAW2","2024-09-21","14:05:17","2024-09-21T14:05:17","1.600","0.48768000000000006","FEET",""
"Pattison Lake","PAW2","2025-05-06","21:37:00","2025-05-06T21:37:00","1.580","0.48158400000000007","FEET",""
"Pattison Lake","PAW2","2025-12-21","14:43:09","2025-12-21T14:43:09","1.960","0.597408","FEET",""
"Pattison Lake","PAW2","2025-12-27","11:06:22","2025-12-27T11:06:22","1.870","0.569976","FEET",""
"Pattison Lake","PAW2","2026-02-22","13:56:56","2026-02-22T13:56:56","1.750","0.5334","FEET",""
